Date,HFI,CA,EM,EMN,ED,EDD,EDM,EDRA,FIA,GM,LE,MF,M,rf,SP500,MSCI_WORLD,Corp3y,Corp10y,spread_mat,Mom,high_yield,inv_grade,default_spread
2018-01-31,0.0271,0.0182,0.0357,0.0206,0.0161,0.0138,0.0173,0.011,0.0087,0.0313,0.0311,0.0466,0.0289,0.0144,0.056178494549969,0.0370590718243266,0.027425,0.04276,0.015334999999999998,4.05,0.105905,0.033125,0.07278
2018-02-28,-0.0212,-0.0093,-0.0135,-0.0163,-0.0131,-0.0058,-0.016,-0.0132,0.0039,-0.0199,-0.0193,-0.075,-0.0215,0.0163,-0.0389471675046767,-0.0369287709826421,0.029718181818181817,0.043227272727272725,0.013509090909090908,3.58,0.10604545454545454,0.034027272727272725,0.07201818181818181
2018-03-31,-0.0006,-0.0003,-0.0095,0.0033,-0.0053,-0.0043,-0.0057,-0.0035,0.0048,-0.005,-0.0012,-0.0027,0.0098,0.017,-0.026886184436863098,-0.025446076914411,0.030633333333333335,0.04407619047619048,0.013442857142857142,-1.13,0.10144285714285713,0.0344,0.06704285714285713
2018-04-30,0.0005,0.0018,-0.0065,0.0055,0.004,0.0005,0.0057,-0.0039,0.0036,0.0012,0.0027,-0.006,-0.003,0.0184,0.00272008288407477,0.0174165730046291,0.03147826086956522,0.04588260869565217,0.014404347826086954,0.36,0.09859565217391304,0.03531304347826087,0.06328260869565216
2018-05-31,0.0028,-0.0056,0.0017,-0.0107,0.0052,-0.0017,0.008,0.0028,-0.0079,0.0154,0.0038,-0.011,0.0036,0.0189,0.021610392796587597,0.00949616380026374,0.03222727272727273,0.04604545454545454,0.013818181818181813,3.89,0.09642272727272727,0.03512727272727273,0.06129545454545454
2018-06-30,-0.0023,-0.0038,-0.0387,-0.0011,0.0065,0.0063,0.0064,0.0092,0.0017,-0.0038,-0.0099,0.0143,0.0008,0.0189,0.00484191610834816,0.00203573491581798,0.03272272727272727,0.046136363636363635,0.013413636363636364,-2.35,0.09948181818181817,0.03485909090909091,0.06462272727272726
2018-07-31,0.0036,0.0041,0.0015,0.0,0.0062,0.0091,0.0056,-0.0037,0.0042,0.0019,0.0143,-0.0113,-0.0034,0.0199,0.0360197623059455,0.0307578890543527,0.03229130434782609,0.04562173913043479,0.013330434782608702,-1.41,0.09748260869565216,0.034560869565217395,0.06292173913043476
2018-08-31,0.0012,-0.0036,-0.0291,0.0014,0.0017,0.0003,0.002,0.0071,0.003,-0.0073,0.0005,0.025,0.007,0.0207,0.0302628945799421,0.011418675633481302,0.03317619047619048,0.04645238095238095,0.013276190476190476,5.29,0.09664761904761905,0.03576190476190476,0.06088571428571429
2018-09-30,0.001,0.0087,-0.0136,-0.0037,0.0023,-0.0015,0.0038,0.0048,0.0021,0.0035,0.0006,-0.0071,0.0061,0.0215,0.00429446387458143,0.0056171426503353,0.03437826086956522,0.04821739130434783,0.01383913043478261,0.04,0.10109130434782608,0.03735652173913044,0.06373478260869564
2018-10-31,-0.0257,-0.0138,-0.0255,-0.0209,-0.0272,-0.0091,-0.0355,-0.0149,-0.0024,-0.0138,-0.0448,-0.0348,-0.019,0.0229,-0.0694012521964936,-0.0688043979512977,0.035745454545454546,0.04966818181818182,0.013922727272727274,-1.99,0.11487727272727272,0.037668181818181816,0.0772090909090909
2018-11-30,-0.0059,-0.0012,0.0059,-0.043,-0.0041,-0.0033,-0.005,0.006,-0.0058,-0.0066,0.0017,-0.0099,-0.0133,0.0232,0.0178592968842066,0.00972348027742664,0.035875,0.049275,0.013400000000000002,-1.37,0.127715,0.03603,0.09168499999999999
2018-12-31,-0.0119,-0.0174,-0.013,0.0154,-0.0314,-0.0198,-0.0382,0.0005,-0.0048,0.003,-0.0246,0.008,-0.0055,0.024,-0.09177937709315889,-0.0797273868200257,0.033977272727272724,0.048081818181818184,0.01410454545454546,2.11,0.12394999999999999,0.034690909090909085,0.0892590909090909
2019-01-31,0.0177,0.0287,0.0373,0.0141,0.0252,0.0121,0.0315,0.0143,0.0109,0.0106,0.0353,-0.0184,0.0097,0.0236,0.0786858482807935,0.071360152988239,0.03211,0.045899999999999996,0.013789999999999997,-8.68,0.11778000000000001,0.03338,0.0844
2019-02-28,0.0108,0.0059,0.0385,0.0022,0.0162,0.01,0.0197,0.0024,0.0075,0.0001,0.0145,0.0055,0.008,0.024,0.029729211783817,0.0315732874146792,0.03041818181818182,0.04386818181818182,0.01345,0.86,0.11739545454545454,0.03299090909090909,0.08440454545454545
2019-03-31,0.0109,0.003,0.0045,0.009,0.0075,-0.0007,0.0113,0.0023,0.0034,0.0153,0.003,0.0457,0.0122,0.0235,0.0179237263211957,0.0134819434235879,0.02962857142857143,0.0425,0.012871428571428572,2.21,0.11174761904761904,0.03235238095238095,0.07939523809523809
2019-04-30,0.0136,0.0111,0.0021,-0.024,0.0189,0.0216,0.0186,0.0048,0.0035,0.014,0.0184,0.0268,0.0104,0.023799999999999998,0.0393138139866811,0.0358416749716634,0.028743478260869565,0.04120434782608696,0.012460869565217393,-2.97,0.11091739130434781,0.031613043478260876,0.07930434782608695
2019-05-31,-0.01,-0.0035,-0.0237,0.0169,-0.0112,-0.0158,-0.0097,-0.0039,0.0019,-0.0087,-0.0236,-0.0061,-0.0004,0.023,-0.065777027995352,-0.0600574572727353,0.02565238095238095,0.038180952380952385,0.012528571428571434,7.56,0.11483333333333333,0.02867619047619048,0.08615714285714285
