Date,HFI,CA,EM,EMN,ED,EDD,EDM,EDRA,FIA,GM,LE,MF,M,SP500,spread_mat,Mom,default_spread
2003-08-31,0.0076,-0.0091,0.0298,0.0006,0.0086,0.0102,0.0064,0.0116,0.0021,0.013,0.0104,0.0106,0.0073,0.0178764423908539,0.03083181818181818,-0.62,0.09747272727272727
2003-09-30,0.0152,0.0197,0.0265,0.0106,0.018,0.0221,0.0147,0.0095,0.0116,0.0304,0.0121,-0.016,0.0168,-0.0119510172546539,0.030743478260869567,-0.19,0.0885
2003-10-31,0.0138,0.0167,0.0225,0.0067,0.0153,0.0198,0.011,0.0121,0.0046,0.0009,0.0246,0.0078,0.0121,0.0549708592767983,0.02895714285714285,3.99,0.08697619047619047
2003-11-30,0.0108,0.0125,0.0117,0.0033,0.0121,0.0121,0.0134,0.0042,0.0052,0.0055,0.017,0.0054,0.0088,0.0071285784224523994,0.029259090909090908,1.46,0.08179090909090908
2003-12-31,0.0195,0.007,0.0356,0.0093,0.0149,0.0173,0.0129,0.01,0.008,0.0186,0.024,0.0542,0.0232,0.050757013412813905,0.029550000000000003,-5.57,0.06933636363636363
2004-01-31,0.017,0.0142,0.0253,0.0082,0.0216,0.0242,0.0201,0.0083,0.0123,0.0145,0.02,0.0109,0.016,0.0172777471099878,0.029176190476190474,2.58,0.07429999999999999
2004-02-29,0.014,0.0029,0.0139,0.0079,0.0095,0.0089,0.0105,0.005,0.0087,0.0119,0.0175,0.0689,0.0039,0.012213392092419,0.02860869565217391,-1.14,0.07891739130434783
2004-03-31,0.0028,0.0042,0.0183,-0.0011,0.0045,0.0059,0.0029,0.0073,-0.0049,0.0097,0.002,-0.0086,0.0041,-0.0163594298785939,0.029414285714285712,0.17,0.07344761904761904
2004-04-30,-0.0058,0.0046,-0.0331,-0.0034,0.0051,0.0066,0.0047,-0.0058,0.0134,0.0014,-0.014,-0.0646,0.0032,-0.0167878768774781,0.02914285714285715,-5.38,0.07904285714285712
2004-05-31,-0.0023,-0.0133,-0.0181,0.0021,0.0009,0.0026,-0.0009,0.0044,0.0063,0.0005,-0.0036,-0.0105,-0.0013,0.012081858581304901,0.026818181818181817,1.5,0.07324090909090908
2004-06-30,0.0034,-0.0076,0.0087,0.0084,0.0096,0.0106,0.0093,0.0025,0.0071,0.0048,0.0066,-0.0284,0.0009,0.0179823359520636,0.02589130434782609,2.05,0.07369130434782609
2004-07-31,-0.0031,-0.002,-0.0014,0.0031,0.0,0.0052,-0.0034,-0.0152,0.007,0.0082,-0.0142,-0.0195,-0.0029,-0.0342872364782447,0.025231818181818185,-2.29,0.0773181818181818
2004-08-31,0.0014,0.0028,0.0183,0.0213,0.0045,0.0056,0.0038,0.0018,-0.0041,-0.0075,0.0009,-0.0153,0.0041,0.00228461055649842,0.023468181818181815,-1.59,0.07450909090909093
2004-09-30,0.0101,-0.0007,0.0233,0.0054,0.0127,0.0123,0.0135,0.0063,-0.0078,-0.0049,0.0236,0.0196,0.0057,0.00936991305757417,0.022277272727272722,5.49,0.07381818181818184
2004-10-31,0.0128,-0.0029,0.024,0.0003,0.0124,0.0186,0.0073,0.0092,0.0114,0.0122,0.0144,0.0482,0.0059,0.0140106197554941,0.020163636363636363,-1.38,0.06487272727272728
2004-11-30,0.0265,0.0108,0.0269,0.0026,0.0327,0.0267,0.0388,0.0167,0.0112,0.0242,0.0324,0.0583,0.0211,0.0385995706420221,0.0189,3.16,0.058609090909090916
2004-12-31,0.0161,0.0069,0.0139,0.0086,0.0228,0.0192,0.0262,0.0132,0.0061,0.0072,0.0257,0.0072,0.0125,0.0324511939308123,0.015923809523809528,-2.87,0.06047142857142858
2005-01-31,-0.0034,-0.008,0.0113,0.0035,0.002,0.0055,-0.0007,-0.0009,0.0009,0.0069,-0.0084,-0.0539,0.0001,-0.0252890401754642,0.013944999999999999,3.05,0.05954000000000001
2005-02-28,0.0143,-0.0031,0.0335,0.0102,0.0159,0.0155,0.0168,0.0046,0.0091,0.014,0.0203,0.0008,0.0101,0.0189051071471413,0.013404545454545454,3.37,0.05956818181818182
2005-03-31,-0.0015,-0.0163,-0.0188,0.0043,0.0057,0.0065,0.0054,0.0009,0.0027,0.0051,-0.0114,0.0037,0.0012,-0.0191168977137839,0.012227272727272726,0.41,0.07226818181818181
